cv_id,jd_id,cv_jd_similarity,cv_skill,jd_requirement,skill_requirement_similarity,ai_prediction,__index_level_0__
cv_db2d69c84fc86dd0610fb420ed2a9f66.txt,d5379c2e-f345-4505-accb-ea77ba91c566,0.7867359,Quickly learn new technologies and adapt to challenges,Willingness to research and stay updated on advancements in Generative AI and related fields.,0.61579,1,35529
cv_467a52c9b5486b2af4363abc225d0da2.txt,c041c75d-2d50-469a-92e2-3dc888cb4103,0.76106375,"UI/UX & Design Tools: Material UI, Ant Design","Frontend: ReactJS, TypeScript",0.5642824,0,7920
cv_e0ee4fae60f836b49e35a23d821ba99d.txt,5c7404cc-f255-4f30-a0f3-276afce31e6d,0.7832954,"Basic knowledge of Java, HTML, CSS, PHP",Familiar with JSON and log debugging. Knowledge of Python and MS SQL is nice to have.,0.58201236,0,10670
cv_260e0447d46110a213aa9d856554c7be.txt,ff1a0d1a-8839-46db-a20d-c54a4edc8016,0.7649998,"Good teamwork skills, easy to integrate",Exhibiting good teamwork spirit and a willingness to understand the various roles played by fellow team members and logical thinking.,0.66810375,1,30502
cv_118c506fde236e0033b8fae91c96f851.txt,21264014-484f-49f9-978f-588c671c79af,0.798019,Skills in interacting and collaborating with other team members to resolve source code management issues,Experience with UI development and front-end technologies from,0.57426906,0,17911
cv_47585076b51a6ec2a4d2474e1f6ff5c9.txt,3d4a3bc9-3c09-425e-be96-007908a9b6de,0.84526086,"Proficient in Java (Spring Boot, Hibernate, JSP) with experience in building scalable, high-performance backend systems",Have knowledge Python language,0.5577581,0,1594
cv_db2d69c84fc86dd0610fb420ed2a9f66.txt,d5379c2e-f345-4505-accb-ea77ba91c566,0.7867359,Chinese: Basic communication skills in daily conversations and workplace settings,Ability to collaborate effectively in a team-oriented environment.,0.5675528,0,35558
cv_d112218e5cc36f8dbf8ffb4d91686d3c.txt,4a1e4855-506c-4e11-8f55-195b6fdfbf71,0.7734584,"Good teamwork, present, communicate, and explain issues clearly","Good at MS SQL Server (relational database), stored procedures;",0.5754998,0,44093
cv_4fabb3290e15f7a2294cee9ed275e333.txt,690df3b1-0685-440c-9381-dc340a0b254e,0.78041697,"Teamwork, problem-solving and debugging skills with the ability to propose independent solutions while remaining open to feedback and refining approaches for optimal results","Familiarity with front-end frameworks, particularly ReactJS.",0.5605749,0,23243
cv_3620fdcc1476ca7280ba76645a7226db.txt,eb4d7b81-05b2-4265-bcdd-e7db1be02a7d,0.7820852,Having basic knowledge of embedded systems,"Excellent knowledge on Compilers, Debuggers for different micro-controllers",0.6505486,1,29445
cv_775fe213072ca99bf34f7980ec11becf.txt,d5379c2e-f345-4505-accb-ea77ba91c566,0.7895176,"Colleague connection skills: responsible for the content and MC for team building programs, gala dinners, year end party, organize games to enhance the spirit of solidarity among members in the department",Ability to collaborate effectively in a team-oriented environment.,0.6622473,0,5424
cv_39dccab99a452b1da4c8764ab5902e16.txt,3873a72f-4168-458e-8b52-8e45cb6ab0c5,0.756855,"Languages: Python (4+ years), C# (7+ years), Node.js (2 years)","Strong proficiency in Python and its frameworks (e.g., Django, Flask, FastAPI).",0.6308079,1,50971
cv_7f21f99264a595796fadd58774557d0b.txt,1cb0b984-691a-412e-aa20-6d52999fd9d9,0.75677454,"C Javascript, .Net core, Object-oriented programming, LINQ, Async/await, Generic programing",Basic understanding of client-side scripting and JavaScript frameworks,0.5947227,1,13199
cv_879e79dd9a604c65296a51db44207e10.txt,3d4a3bc9-3c09-425e-be96-007908a9b6de,0.76685524,Use programming languages such as,"Developed based on Spring, Spring Boot F/W, Spring MVC...",0.56286454,1,26003
cv_c1934a04b5309f2acd1842b82f1fe166.txt,c041c75d-2d50-469a-92e2-3dc888cb4103,0.7934613,"Back-end: Java, Spring Database: SQL, MongoDB","Frontend: ReactJS, TypeScript",0.6328114,0,15197
cv_a8cf772c59cf323335ddca0c1c01bdd7.txt,2788c101-2048-4746-99c1-d25ada11defe,0.79838336,"Use tools such as Github, Gitlab, Backlog, Chatwork, Slack",Proficiency with Git and version control systems.,0.61233664,0,25487
cv_c8ca0fb9f2d5846991b92471ccd495b1.txt,4d3063e2-423b-4ad1-b247-dbbd79eb195f,0.7862766,"Technical documentation: Proficient in creating and maintaining clear, up-to-date technical documentation","Database Knowledge: familiarity with databases like MongoDB, MySQL, PostgreSQL, or SQL Server.",0.57327235,0,49800
cv_1149393d453e412f7bd45d219cdc3ead.txt,690df3b1-0685-440c-9381-dc340a0b254e,0.7956963,"Familiar with Node.js, React",Familiarity with REST APIs and how to build and consume them.,0.6981395,0,2499
