cv_id,jd_id,cv_jd_similarity,cv_skill,jd_requirement,skill_requirement_similarity,ai_prediction,__index_level_0__,cv_final,jd_final
cv_db2d69c84fc86dd0610fb420ed2a9f66.txt,d5379c2e-f345-4505-accb-ea77ba91c566,0.7867359,Quickly learn new technologies and adapt to challenges,Willingness to research and stay updated on advancements in Generative AI and related fields.,0.61579,1,35529,quickly learn new technology adapt challenge,willingness research stay updated advancement generative artificial intelligence related field
cv_467a52c9b5486b2af4363abc225d0da2.txt,c041c75d-2d50-469a-92e2-3dc888cb4103,0.76106375,"UI/UX & Design Tools: Material UI, Ant Design","Frontend: ReactJS, TypeScript",0.5642824,0,7920,ui ux design tool material ui ant design,frontend react typescript
cv_e0ee4fae60f836b49e35a23d821ba99d.txt,5c7404cc-f255-4f30-a0f3-276afce31e6d,0.7832954,"Basic knowledge of Java, HTML, CSS, PHP",Familiar with JSON and log debugging. Knowledge of Python and MS SQL is nice to have.,0.58201236,0,10670,basic knowledge java html cs php,familiar json log debugging knowledge python m sql nice
cv_260e0447d46110a213aa9d856554c7be.txt,ff1a0d1a-8839-46db-a20d-c54a4edc8016,0.7649998,"Good teamwork skills, easy to integrate",Exhibiting good teamwork spirit and a willingness to understand the various roles played by fellow team members and logical thinking.,0.66810375,1,30502,good teamwork skill easy integrate,exhibiting good teamwork spirit willingness understand various role played fellow team member logical thinking
cv_118c506fde236e0033b8fae91c96f851.txt,21264014-484f-49f9-978f-588c671c79af,0.798019,Skills in interacting and collaborating with other team members to resolve source code management issues,Experience with UI development and front-end technologies from,0.57426906,0,17911,skill interacting collaborating team member resolve source code management issue,experience ui development front end technology
cv_47585076b51a6ec2a4d2474e1f6ff5c9.txt,3d4a3bc9-3c09-425e-be96-007908a9b6de,0.84526086,"Proficient in Java (Spring Boot, Hibernate, JSP) with experience in building scalable, high-performance backend systems",Have knowledge Python language,0.5577581,0,1594,proficient java spring boot hibernate jsp experience building scalable high performance backend system,knowledge python language
cv_db2d69c84fc86dd0610fb420ed2a9f66.txt,d5379c2e-f345-4505-accb-ea77ba91c566,0.7867359,Chinese: Basic communication skills in daily conversations and workplace settings,Ability to collaborate effectively in a team-oriented environment.,0.5675528,0,35558,chinese basic communication skill daily conversation workplace setting,ability collaborate effectively team oriented environment
cv_d112218e5cc36f8dbf8ffb4d91686d3c.txt,4a1e4855-506c-4e11-8f55-195b6fdfbf71,0.7734584,"Good teamwork, present, communicate, and explain issues clearly","Good at MS SQL Server (relational database), stored procedures;",0.5754998,0,44093,good teamwork present communicate explain issue clearly,good m sql server relational database stored procedure
cv_4fabb3290e15f7a2294cee9ed275e333.txt,690df3b1-0685-440c-9381-dc340a0b254e,0.78041697,"Teamwork, problem-solving and debugging skills with the ability to propose independent solutions while remaining open to feedback and refining approaches for optimal results","Familiarity with front-end frameworks, particularly ReactJS.",0.5605749,0,23243,teamwork problem solving debugging skill ability propose independent solution remaining open feedback refining approach optimal result,familiarity front end framework particularly react
cv_3620fdcc1476ca7280ba76645a7226db.txt,eb4d7b81-05b2-4265-bcdd-e7db1be02a7d,0.7820852,Having basic knowledge of embedded systems,"Excellent knowledge on Compilers, Debuggers for different micro-controllers",0.6505486,1,29445,basic knowledge embedded system,excellent knowledge compiler debugger different micro controller
cv_775fe213072ca99bf34f7980ec11becf.txt,d5379c2e-f345-4505-accb-ea77ba91c566,0.7895176,"Colleague connection skills: responsible for the content and MC for team building programs, gala dinners, year end party, organize games to enhance the spirit of solidarity among members in the department",Ability to collaborate effectively in a team-oriented environment.,0.6622473,0,5424,colleague connection skill responsible content mc team building program gala dinner year end party organize game enhance spirit solidarity among member department,ability collaborate effectively team oriented environment
cv_39dccab99a452b1da4c8764ab5902e16.txt,3873a72f-4168-458e-8b52-8e45cb6ab0c5,0.756855,"Languages: Python (4+ years), C# (7+ years), Node.js (2 years)","Strong proficiency in Python and its frameworks (e.g., Django, Flask, FastAPI).",0.6308079,1,50971,language python year csharp year node javascript year,strong proficiency python framework django flask fastapi
cv_7f21f99264a595796fadd58774557d0b.txt,1cb0b984-691a-412e-aa20-6d52999fd9d9,0.75677454,"C Javascript, .Net core, Object-oriented programming, LINQ, Async/await, Generic programing",Basic understanding of client-side scripting and JavaScript frameworks,0.5947227,1,13199,javascript dotnet core object oriented programming linq async await generic programing,basic understanding client side scripting javascript framework
cv_879e79dd9a604c65296a51db44207e10.txt,3d4a3bc9-3c09-425e-be96-007908a9b6de,0.76685524,Use programming languages such as,"Developed based on Spring, Spring Boot F/W, Spring MVC...",0.56286454,1,26003,use programming language,developed based spring spring boot spring mvc
cv_c1934a04b5309f2acd1842b82f1fe166.txt,c041c75d-2d50-469a-92e2-3dc888cb4103,0.7934613,"Back-end: Java, Spring Database: SQL, MongoDB","Frontend: ReactJS, TypeScript",0.6328114,0,15197,back end java spring database sql mongodb,frontend react typescript
cv_a8cf772c59cf323335ddca0c1c01bdd7.txt,2788c101-2048-4746-99c1-d25ada11defe,0.79838336,"Use tools such as Github, Gitlab, Backlog, Chatwork, Slack",Proficiency with Git and version control systems.,0.61233664,0,25487,use tool github gitlab backlog chatwork slack,proficiency git version control system
cv_c8ca0fb9f2d5846991b92471ccd495b1.txt,4d3063e2-423b-4ad1-b247-dbbd79eb195f,0.7862766,"Technical documentation: Proficient in creating and maintaining clear, up-to-date technical documentation","Database Knowledge: familiarity with databases like MongoDB, MySQL, PostgreSQL, or SQL Server.",0.57327235,0,49800,technical documentation proficient creating maintaining clear date technical documentation,database knowledge familiarity database like mongodb mysql postgresql sql server
cv_1149393d453e412f7bd45d219cdc3ead.txt,690df3b1-0685-440c-9381-dc340a0b254e,0.7956963,"Familiar with Node.js, React",Familiarity with REST APIs and how to build and consume them.,0.6981395,0,2499,familiar node javascript react,familiarity rest apis build consume
cv_258264ff417c2ceb30a50c38d728d854.txt,c19ee755-2085-4f7d-95b2-15952d09ec76,0.83153117,Knowledge about Microservice,"Familiarity with databases (e.g. MySQL, PostgreSQL, MongoDB...)",0.5628592,0,43296,knowledge microservice,familiarity database mysql postgresql mongodb
cv_4f106ecc9fb592d3639dd8b4d231eab9.txt,321fe882-aab3-49ab-8083-03181a43a2fc,0.8168389,"I have skills in working with Firebase, a mobile and web application development platform from Google. I have worked with Firebase to build features such as user authentication, real-time data storage, and push notifications. I am capable of setting up and managing Firebase services such as Firebase Authentication, Firebase Realtime Database, and Firebase Cloud Messaging. I also have experience integrating Firebase into mobile and web applications to create better user experiences and enhance interactivity",Develop and maintain scalable and high-performance web applications using Node.js.,0.55026555,1,21041,skill working firebase mobile web application development platform google worked firebase build feature user authentication real time data storage push notification capable setting managing firebase service firebase authentication firebase realtime database firebase cloud messaging also experience integrating firebase mobile web application create better user experience enhance interactivity,develop maintain scalable high performance web application using node javascript
cv_f349b43e021f68d617ca2631266c10e1.txt,31e715fb-f8a5-488e-8c08-0ea84fe95715,0.7572122,Message Brokers: RabbitMQ (asynchronous communication between services),"Công nghệ: Redux, NodeJS, Asynchronous, Non Blocking IO, BigData, Full-Text Search, Single Sign On, Database Partitioning, Multi Tenancy, Apache Kafka, Redis.",0.5565096,1,34050,message broker rabbitmq asynchronous communication service,công nghệ redux node asynchronous non blocking io bigdata full text search single sign database partitioning multi tenancy apache kafka redis
cv_5912f29da1cf8dfb59b87398745759fa.txt,ed4ac9ef-2045-41b7-8a1e-eea0c4229acc,0.76892006,"HTML/CSS(SCSS),JavaScript,Bootstrap5,Sass,Tailwind,VueJs , ReactJS, NextJS","Java Core, JSP Servlet, Struts, Spring MVC, Spring Boot, ...",0.5553348,0,24065,html cs scss javascript bootstrap5 sas tailwind vue react nextjs,java core jsp servlet strut spring mvc spring boot
cv_e28b967276237e1b85eb069344db6588.txt,d5379c2e-f345-4505-accb-ea77ba91c566,0.7970686,"Data Skills: Data preprocessing, visualization, feature engineering","Familiarity with machine learning frameworks such as TensorFlow, PyTorch, or scikit-learn.",0.5802124,0,32551,data skill data preprocessing visualization feature engineering,familiarity machine learning framework tensorflow pytorch scikit learn
cv_e12fa829e092d7f8c902c677b353d5bc.txt,7441145e-e9e0-4b7f-a429-cc0573bb27b5,0.76288426,Experience with making a website using HTML/CSS and Javascript,Experience developing Web Applications using RESTful APIs,0.67479503,1,20123,experience making website using html cs javascript,experience developing web application using restful apis
cv_f8a2bc884b455fcb10c09766d3e5e421.txt,c2d65ef0-f3e9-40ca-9721-c3f3f344e313,0.85484445,"Proficient in using Git for version control, familiar with branching, merging, and pull requests",Experienced in auto-build and auto-deployment.,0.60625935,1,33543,proficient using git version control familiar branching merging pull request,experienced auto build auto deployment
cv_ac51c92e500f2ba517e80a1c750ca750.txt,c2d65ef0-f3e9-40ca-9721-c3f3f344e313,0.83748907,Experience with backend development using Express.js and RESTful API design.Knowledge of database systems like MongoDB and SQL,"Experience with front end unit test frameworks such as jest, mocha.",0.63085866,0,14869,experience backend development using express javascript restful api design knowledge database system like mongodb sql,experience front end unit test framework jest mocha
cv_118c506fde236e0033b8fae91c96f851.txt,21264014-484f-49f9-978f-588c671c79af,0.798019,"Experience in using GIT for source code management, particularly",", experience building thread safe code.",0.58066404,0,17894,experience using git source code management particularly,experience building thread safe code
cv_118c506fde236e0033b8fae91c96f851.txt,21264014-484f-49f9-978f-588c671c79af,0.798019,Utilization of tools such as Maven to manage dependencies and build Spring applications,or similar source code versioning tools and coding standards.,0.5972564,1,17775,utilization tool maven manage dependency build spring application,similar source code versioning tool coding standard
cv_c05d996b71a0a060f88ebc5ade384c75.txt,cc97c5f6-5052-4490-8afa-388ec5efe58f,0.76912606,"Soft Skills: English communication, teamwork, critical thinking, problem-solving, adaptability, proactive learning",Ability to work independently and collaboratively within a team;,0.58103955,1,21714,soft skill english communication teamwork critical thinking problem solving adaptability proactive learning,ability work independently collaboratively within team
cv_ab8c9640bea82fd521769143460204f3.txt,7441145e-e9e0-4b7f-a429-cc0573bb27b5,0.82533187,"Databases: MySQL, SQL Server, SQLite, MongoDB","with the ability to collect, organize, and analyze data",0.565639,1,25250,database mysql sql server sqlite mongodb,ability collect organize analyze data
cv_164850bdf03d918ce61473cfbd73690b.txt,eeb7d740-51b1-4d8d-83f1-8875d1d46f98,0.8035242,"Project management software: Familiarity with tools like Jira, AzureDevOps, and Zendesk",Strong skills and knowledge in software project management.,0.5733321,1,6751,project management software familiarity tool like jira azuredevops zendesk,strong skill knowledge software project management
cv_cd9d77024787f753bf607150ec7ef78b.txt,8dcd6318-0bc0-4fdf-b2d6-f74ca60c6332,0.76758033,"Market understanding: The Sales industry possesses deep knowledge of the market, customers, and consumer trends. This can provide valuable information for the Data Analyst to understand and analyze data comprehensively","Strong proficiency in SQL and Python is required, and experience working with large datasets is a bonus.",0.5964775,0,675,market understanding sale industry possesses deep knowledge market customer consumer trend provide valuable information data analyst understand analyze data comprehensively,strong proficiency sql python required experience working large datasets bonus
cv_48c65dd985dbe457acbf27f2c2dd5041.txt,56691e4b-c542-4eb9-9ffc-e7e9af083b4f,0.7959688,"PROGRAMING: Experienced in Python with data manipulation, task automation, API requests and data crawling/scraping","Strong problem-solving, teamwork, and communication skills (both verbal and written).",0.56075317,0,32431,programing experienced python data manipulation task automation api request data crawling scraping,strong problem solving teamwork communication skill verbal written
cv_aac412bb24901c3ca5e4e75c7f4a2699.txt,37acb2ea-41b4-4784-9c38-02bea90fd789,0.7785089,Experience in the UI/UX or understanding of user-centric mindset,"Experience in designing, developing, and deploying software.",0.5829311,0,24992,experience ui ux understanding user centric mindset,experience designing developing deploying software
cv_03edd6037831fca3ed93de21123ee8bd.txt,613c4a04-6129-4f69-bd3c-79745921087e,0.84144855,"Proficiency in Deep Learning Frameworks like Tensorflow, PyTorch, etc and standard machine learning libraries (like scikit-learn, StatsModels)",Practical knowledge of ML frameworks such as,0.57090414,1,24163,proficiency deep learning framework like tensorflow pytorch etc standard machine learning library like scikit learn statsmodels,practical knowledge machine learning framework
cv_45b84ba9d530e4db464bb768d98cb1c5.txt,e1339707-4af0-4e0f-96de-7e7dc60b0a01,0.7656622,"Excel, Powerpoint, Word","Advance using Microsoft Visio, Prototyping, Wireframe & use case tools",0.60750234,0,44547,excel powerpoint word,advance using microsoft visio prototyping wireframe use case tool
cv_a6e857c5f0fc5cc94f61b4cdc1c9fadd.txt,26a4da6f-580a-4062-b8ea-4de0b3e0bc9b,0.77302104,Independent Work Skills: Capable of self- learning and problem-solving independently,"Familiarity with Agile methodologies and frameworks, including Scrum.",0.5871391,0,45618,independent work skill capable self learning problem solving independently,familiarity agile methodology framework including scrum
cv_08f1fb9d1eb37afe021c767eba42b9ab.txt,eeb7d740-51b1-4d8d-83f1-8875d1d46f98,0.845299,"Communication, negotiation, and team-work skills",Ability to work independently and handle high-pressure situations.,0.6271627,1,22276,communication negotiation team work skill,ability work independently handle high pressure situation
cv_cc50bee9379df1f16255ca69e1b9f45f.txt,1cb0b984-691a-412e-aa20-6d52999fd9d9,0.8129656,Diligence and patience: Willingness to learn and work hard to achieve results,Good understanding of methodologies to research new technologies,0.5509999,1,42827,diligence patience willingness learn work hard achieve result,good understanding methodology research new technology
cv_633a6147b20c686d5e60ea2e6750d0a8.txt,c041c75d-2d50-469a-92e2-3dc888cb4103,0.7678796,"Programming Languages: Java, C JavaScript","Frontend: HTML, CSS, JavaScript",0.7029471,1,10732,programming language java javascript,frontend html cs javascript
cv_ccc4593768661d160a0d192f46b86670.txt,c19ee755-2085-4f7d-95b2-15952d09ec76,0.77055144,Able to use a variety of technologies and languages,"Familiarity with one or multiple back-endframeworks (e.g. SpringEcosystem, Laravel, Nest.js...) is an advantage",0.6008713,1,32475,able use variety technology language,familiarity one multiple back endframeworks springecosystem laravel nest javascript advantage
cv_6dbb8949776791c04c62bb72daa83f07.txt,7441145e-e9e0-4b7f-a429-cc0573bb27b5,0.788608,"Good understanding software design, RestfulAPI, Tailwind CSS, Hook, Redux, Bloc",Experience developing Web Applications using RESTful APIs,0.5967369,1,24635,good understanding software design restfulapi tailwind cs hook redux bloc,experience developing web application using restful apis
cv_f238b95b4ed955cceefba4086ef14f68.txt,506289c8-11c9-4471-acb6-8cc412153eba,0.76459837,Perseverance and ability to overcome challenges,"Ability to write clean, maintainable, and well-documented code",0.59806067,0,34299,perseverance ability overcome challenge,ability write clean maintainable well documented code
cv_a5cfa6c64ffe15b6e09401be991bb15b.txt,12a69a80-a99e-4f37-a427-cc940020064e,0.7589804,I can ensure all my clients are happy and expectations are met,Fluent in both spoken and written English,0.55287516,0,4457,ensure client happy expectation met,fluent spoken written english
cv_361333ef562b776ce97fe87d5e4aece3.txt,d5379c2e-f345-4505-accb-ea77ba91c566,0.7944276,"Analytical thinking, practical problem solving",Analytical thinking and problem-solving abilities.,0.82723105,1,52407,analytical thinking practical problem solving,analytical thinking problem solving ability
cv_7f05ccd94bdb1644413d335154729b36.txt,c19ee755-2085-4f7d-95b2-15952d09ec76,0.7748709,Communication and customer issue resolution,Good at communication and teamwork skills,0.6334897,1,49546,communication customer issue resolution,good communication teamwork skill
cv_2125976a849bb04e4c9ec772fa6c064b.txt,7e64cfd8-b406-49cc-b86c-10bddc97bd4b,0.82792896,Possess a rational mind and analytical abilities. be quick to learn and capable of understanding intricate software systems,Solid understanding of mobile app development (iOS & Android) and their unique testing challenges.,0.57765293,1,8849,possess rational mind analytical ability quick learn capable understanding intricate software system,solid understanding mobile app development io android unique testing challenge
cv_39453f554c713d7893e3f6cab97bc7bd.txt,c041c75d-2d50-469a-92e2-3dc888cb4103,0.8319147,"Soft skills: Teamwork, Good presentation, withstand pressure",Nice to have:,0.55474406,0,18210,soft skill teamwork good presentation withstand pressure,nice
cv_5a766a586db120044ee2fa302dfcbfdd.txt,707d9503-11f7-4389-9f41-1b3e4705c308,0.8116774,Communicate ideas and information effectively,Good communication and teamwork skills.,0.6994772,1,45530,communicate idea information effectively,good communication teamwork skill
cv_093d934e0ebd1a46a81b8aee74251516.txt,690df3b1-0685-440c-9381-dc340a0b254e,0.82360554,Knowledge and proficiency in using frameworks such as,Familiarity with REST APIs and how to build and consume them.,0.6403364,0,42748,knowledge proficiency using framework,familiarity rest apis build consume
cv_67ccc70d9899be3178c0dd2455a68746.txt,1fc732a1-7f7a-4bf9-a158-d1f9aa041f8d,0.8420857,"Ability to work in a fast-paced & dynamic environment with short deadlines, interruptions & multiple tasks/projects occurring at once",Strong proficiency with JavaScript,0.5589359,0,21847,ability work fast paced dynamic environment short deadline interruption multiple task project occurring,strong proficiency javascript
cv_4d5b8081c96304f8f4c2934aafcbcafc.txt,c904b89a-905a-473f-bcf4-91e90feee01d,0.7905853,"Experienced in applying convolutional neural networks (CNNs) and transfer learning, YOLO for image classification and object detection, as well as using OpenCV and Ultralytics","Strong expertise in ML frameworks (PyTorch, TensorFlow) and Python",0.5837112,1,30314,experienced applying convolutional neural network cnns transfer learning yolo image classification object detection well using opencv ultralytics,strong expertise machine learning framework pytorch tensorflow python
cv_113b2207d509347d90bc0b42f8c2ceae.txt,d5379c2e-f345-4505-accb-ea77ba91c566,0.8315363,"Languages: Python, C/CR(basic)","Familiarity with machine learning frameworks such as TensorFlow, PyTorch, or scikit-learn.",0.55860007,1,8125,language python cr basic,familiarity machine learning framework tensorflow pytorch scikit learn
cv_4e175e0e45d190b89d8a1edf0e4f43b4.txt,707d9503-11f7-4389-9f41-1b3e4705c308,0.75926274,"Skilled in researching and working with technical documentation in English, and communicating effectively",Eagerness to learn and adapt to new technologies.,0.6398339,0,38258,skilled researching working technical documentation english communicating effectively,eagerness learn adapt new technology
cv_130bb815f51ee19429d54320e3e97ab7.txt,1cb0b984-691a-412e-aa20-6d52999fd9d9,0.7841314,"Programming Languages: HTML/CSS, JavaScript, TypeScript, C C",Basic level of HTML / CSS coding web skills,0.6346066,1,27990,programming language html cs javascript typescript,basic level html cs coding web skill
cv_0708c0c0d0b8fe33986c88df66202936.txt,c904b89a-905a-473f-bcf4-91e90feee01d,0.75824237,"Strong understanding of machine learning concepts and experience with frameworks like TensorFlow, PyTorch, scikit-learn, and libraries for NLP, such as Transformers from Hugging Face","Experience with LLM development, RAG architectures, and healthcare data",0.5799341,1,36172,strong understanding machine learning concept experience framework like tensorflow pytorch scikit learn library natural language processing transformer hugging face,experience llm development rag architecture healthcare data
cv_ee5f3c06a66c591cb7d0f5d1c05f5c8a.txt,c041c75d-2d50-469a-92e2-3dc888cb4103,0.7818194,"Backend Framework: .NET Framework, Winforms, ASP.NET Core MVC, ASP.NET Core Web API, ASP.NET MVC 4","Frontend: HTML, CSS, JavaScript",0.613166,0,7752,backend framework dotnet framework winforms aspdotnet core mvc aspdotnet core web api aspdotnet mvc,frontend html cs javascript
cv_4f106ecc9fb592d3639dd8b4d231eab9.txt,321fe882-aab3-49ab-8083-03181a43a2fc,0.8168389,"Solid understanding and practical experience with ReactJS library. Proficient in building reusable components, managing state with Redux, and handling routing with React Router. Familiar with React Hooks for functional components",Work with DevOps and cloud teams to deploy and manage applications efficiently.,0.55751455,0,21115,solid understanding practical experience react library proficient building reusable component managing state redux handling routing react router familiar react hook functional component,work devops cloud team deploy manage application efficiently
cv_47cf95e01144075cf66e3e3c4c0885e1.txt,7606a1e0-9eb1-446d-8489-4dd6aa084e13,0.8354887,Capable of effectively applying AI technologies to enhance productivity and creativity in project work,Knowledge of web performance optimization techniques,0.5565343,0,18287,capable effectively applying artificial intelligence technology enhance productivity creativity project work,knowledge web performance optimization technique
cv_5895ffd685b9d5695f082d044722f28b.txt,c2d65ef0-f3e9-40ca-9721-c3f3f344e313,0.8368267,"Experienced with React Hooks such as useState, useEffect, useMemo and useCallback",At least 3 years experience in front-end development ReactJS,0.5518149,1,19758,experienced react hook usestate useeffect usememo usecallback,least year experience front end development react
cv_ef3941ba89643ff64d3f7ccb20d17e91.txt,49d4a78c-7c45-4d4a-a45b-304a23f6c791,0.8143861,"A versatile generalist knowledgable in UI design, Game design, Graphic Design, coding and 3D modeling","Open-minded toward AI and creative tools, able to integrate into design processes.",0.67073846,1,20775,versatile generalist knowledgable ui design game design graphic design coding 3d modeling,open minded toward artificial intelligence creative tool able integrate design process
cv_c64d7a255394aabf68e8c87af9a0b1d0.txt,3d4a3bc9-3c09-425e-be96-007908a9b6de,0.8169359,"Java (Java Core, Spring Boot), C/C C# (.NET, WPF), SQL","Developed based on Spring, Spring Boot F/W, Spring MVC...",0.6436728,1,13004,java java core spring boot csharp dotnet wpf sql,developed based spring spring boot spring mvc
